,cluster_id,galaxy_id
0,75,NGC_628C
1,107,NGC_628C
2,112,NGC_628C
3,151,NGC_628C
4,153,NGC_628C
5,156,NGC_628C
6,183,NGC_628C
7,211,NGC_628C
8,223,NGC_628C
9,230,NGC_628C
10,352,NGC_628C
11,366,NGC_628C
12,382,NGC_628C
13,386,NGC_628C
14,404,NGC_628C
15,408,NGC_628C
16,412,NGC_628C
17,461,NGC_628C
18,481,NGC_628C
19,519,NGC_628C
20,530,NGC_628C
21,546,NGC_628C
22,569,NGC_628C
23,570,NGC_628C
24,579,NGC_628C
25,581,NGC_628C
26,620,NGC_628C
27,623,NGC_628C
28,633,NGC_628C
29,636,NGC_628C
30,658,NGC_628C
31,676,NGC_628C
32,677,NGC_628C
33,684,NGC_628C
34,689,NGC_628C
35,696,NGC_628C
36,708,NGC_628C
37,710,NGC_628C
38,727,NGC_628C
39,733,NGC_628C
40,735,NGC_628C
41,747,NGC_628C
42,772,NGC_628C
43,774,NGC_628C
44,775,NGC_628C
45,781,NGC_628C
46,798,NGC_628C
47,823,NGC_628C
48,824,NGC_628C
49,835,NGC_628C
50,848,NGC_628C
51,850,NGC_628C
52,856,NGC_628C
53,870,NGC_628C
54,879,NGC_628C
55,889,NGC_628C
56,903,NGC_628C
57,909,NGC_628C
58,918,NGC_628C
59,935,NGC_628C
60,978,NGC_628C
61,979,NGC_628C
62,981,NGC_628C
63,985,NGC_628C
64,987,NGC_628C
65,997,NGC_628C
66,1008,NGC_628C
67,1010,NGC_628C
68,1014,NGC_628C
69,1018,NGC_628C
70,1019,NGC_628C
71,1029,NGC_628C
72,1046,NGC_628C
73,1055,NGC_628C
74,1072,NGC_628C
75,1087,NGC_628C
76,1090,NGC_628C
77,1102,NGC_628C
78,1111,NGC_628C
79,1114,NGC_628C
80,1124,NGC_628C
81,1126,NGC_628C
82,1131,NGC_628C
83,1139,NGC_628C
84,1143,NGC_628C
85,1148,NGC_628C
86,1150,NGC_628C
87,1156,NGC_628C
88,1161,NGC_628C
89,1164,NGC_628C
90,1167,NGC_628C
91,1172,NGC_628C
92,1186,NGC_628C
93,1188,NGC_628C
94,1195,NGC_628C
95,1199,NGC_628C
96,1202,NGC_628C
97,1216,NGC_628C
98,1220,NGC_628C
99,1228,NGC_628C
100,1231,NGC_628C
101,1232,NGC_628C
102,1241,NGC_628C
103,1242,NGC_628C
104,1249,NGC_628C
105,1250,NGC_628C
106,1255,NGC_628C
107,1257,NGC_628C
108,1260,NGC_628C
109,1267,NGC_628C
110,1283,NGC_628C
111,1284,NGC_628C
112,1316,NGC_628C
113,1346,NGC_628C
114,1349,NGC_628C
115,1363,NGC_628C
116,1366,NGC_628C
